OID_,pointid,grid_code,rain_nor,dem_nor,slope_nor,NDVI_nor,evp_nor,SSD_nor,GST_nor,POINT_X,POINT_Y,Value
370,370,20,0.5535408,0.7431792,0.3819775,0.2043478,0.3421734,0.3233505,0.4261137,-579027.2373,3261914.185,1
371,371,20,0.4414544,0.6273485,0.6645075,0.0391304,0.4568032,0.2694885,0.5408155,-572027.2373,3261914.185,1
372,372,20,0.4788723,0.6551217,0.305448,0.2652174,0.4271824,0.2769426,0.506427,-570027.2373,3261914.185,1
373,373,20,0.5228772,0.6523444,0.4862797,0.3391304,0.3738447,0.3090099,0.4574226,-577027.2373,3260914.185,1
374,374,20,0.4824853,0.7165496,0.2160752,0.4086956,0.3692967,0.3558906,0.4806834,-601027.2373,3259914.185,1
375,375,20,0.5315646,0.6611665,0.3535342,0.0956522,0.3662758,0.3125126,0.4489675,-577027.2373,3259914.185,1
376,376,20,0.5342173,0.6990688,0.1200659,0.1608696,0.3583,0.321561,0.4438144,-580027.2373,3258914.185,1
377,377,20,0.5611523,0.7085444,0.5689794,0.0652174,0.3359704,0.3278718,0.4185255,-579027.2373,3258914.185,1
378,378,20,0.5353115,0.771606,0.4495648,0.0608696,0.3631726,0.3144019,0.4453179,-577027.2373,3258914.185,1
379,379,20,0.5197515,0.6904101,0.3285677,0.0826087,0.3832137,0.3018723,0.4631474,-574027.2373,3258914.185,1
380,380,20,0.4338859,0.6528345,0.3245996,0.3434783,0.4588652,0.27685,0.5455377,-575027.2373,3257914.185,1
381,381,20,0.5421922,0.6967816,0.5081367,0.3913044,0.3986904,0.2550891,0.4741413,-556027.2373,3314914.185,1
382,382,20,0.5562977,0.6879595,0.2121347,0.3826087,0.3910987,0.2541556,0.4616771,-553027.2373,3310914.185,1
383,383,50,0.3721789,0.3775527,0.1210426,0.1434783,0.6596863,0.1305397,0.7046099,-512027.2373,3308914.185,1
384,384,80,0.3695753,0.3777161,0.1046618,0.1043478,0.6595961,0.1306911,0.7052604,-513027.2373,3307914.185,1
385,385,80,0.3652042,0.382944,0.176885,0.1304348,0.6581212,0.1317214,0.705588,-515027.2373,3306914.185,1
386,386,50,0.3673875,0.3778794,0.1111173,0.2086957,0.6590993,0.1310164,0.7054765,-514027.2373,3306914.185,1
387,387,80,0.3778589,0.3747754,0.159609,0.1,0.6615376,0.1288767,0.7034358,-510027.2373,3306914.185,1
388,388,80,0.3628258,0.3811469,0.0125298,0.1913043,0.6577588,0.1320398,0.7059542,-516027.2373,3305914.185,1
389,389,80,0.3601162,0.3782062,0.0463571,0.1347826,0.657666,0.1322872,0.7066143,-517027.2373,3304914.185,1
390,390,10,0.5494522,0.6433589,0.1149301,0.3826087,0.423582,0.2303981,0.4804169,-541027.2373,3302914.185,1
391,391,20,0.5131575,0.6824048,0.2558069,0.2521739,0.4178075,0.2489957,0.4932777,-558027.2373,3300914.185,1
392,392,10,0.5433407,0.6389479,0.3528278,0.3217391,0.4265046,0.2299481,0.48403,-542027.2373,3300914.185,1
393,393,80,0.3347953,0.3793498,0.0255794,0.1695652,0.6525295,0.1382953,0.711177,-527027.2373,3300914.185,1
394,394,80,0.3321018,0.3791864,0.0635105,0.073913,0.652297,0.1388427,0.7117124,-528027.2373,3299914.185,1
395,395,80,0.3296944,0.3796765,0.085964,0.1521739,0.6517929,0.1395214,0.7119588,-529027.2373,3298914.185,1
396,396,20,0.5486289,0.6966182,0.3514769,0.2173913,0.3851249,0.2608951,0.4572455,-558027.2373,3297914.185,1
397,397,80,0.3298517,0.3804934,0.0154613,0.1,0.6518516,0.1394335,0.7116435,-529027.2373,3297914.185,1
398,398,20,0.5615516,0.6979252,0.0594334,0.3304348,0.3752558,0.2633251,0.4451784,-557027.2373,3296914.185,1
399,399,80,0.3274199,0.379023,0.0583713,0.1434783,0.6513457,0.1401618,0.7118937,-530027.2373,3296914.185,1
400,400,20,0.490786,0.6729293,0.1228022,0.3217391,0.4472367,0.2326361,0.5177497,-553027.2373,3295914.185,1
401,401,10,0.6057821,0.6768502,0.3167241,0.3782609,0.4252537,0.21797,0.4578488,-522027.2373,3293914.185,1
402,402,20,0.52073,0.687306,0.4576181,0.3217391,0.4112175,0.2504757,0.4827181,-557027.2373,3292914.185,1
403,403,10,0.6046652,0.6721124,0.3715241,0.3391304,0.4235257,0.2190791,0.4567816,-523027.2373,3292914.185,1
404,404,10,0.6271648,0.6820781,0.4076412,0.3652174,0.4187329,0.2185133,0.4456584,-518027.2373,3292914.185,1
405,405,20,0.5267984,0.6611665,0.2599554,0.3869565,0.4035377,0.2545946,0.4753244,-558027.2373,3291914.185,1
406,406,10,0.6591012,0.6637805,0.2357942,0.3,0.4034016,0.2224798,0.423537,-514027.2373,3290914.185,1
407,407,10,0.7286434,0.7789577,0.08861,0.1652174,0.3887339,0.2237527,0.3896721,-499027.2373,3290914.185,1
408,408,10,0.6325967,0.6712955,0.3823102,0.2826087,0.4213716,0.2167295,0.444877,-516027.2373,3289914.185,1
409,409,10,0.613735,0.6237543,0.276997,0.2217391,0.4424324,0.2087273,0.4655261,-515027.2373,3287914.185,1
410,410,80,0.2908767,0.3764091,0.0788282,0.1130435,0.6435726,0.1549066,0.71764,-546027.2373,3285914.185,1
411,411,10,0.5851793,0.674563,0.2781764,0.3956522,0.4191366,0.2258518,0.4585375,-531027.2373,3284914.185,1
412,412,10,0.5367177,0.6239176,0.538812,0.3956522,0.4369984,0.226671,0.4874986,-540027.2373,3281914.185,1
413,413,10,0.5053424,0.6435223,0.4110708,0.3478261,0.5180976,0.1859005,0.5534787,-523027.2373,3279914.185,1
414,414,10,0.5690147,0.6907368,0.3597897,0.2956522,0.4708565,0.2016783,0.4985576,-520027.2373,3278914.185,1
415,415,10,0.5406987,0.6690083,0.407869,0.2739131,0.4203573,0.2381724,0.4745776,-546027.2373,3277914.185,1
416,416,10,0.5591879,0.6224473,0.4580502,0.2652174,0.4330536,0.225206,0.4757598,-535027.2373,3277914.185,1
417,417,10,0.5768509,0.7031531,0.4805288,0.2130435,0.3854612,0.252234,0.4378796,-547027.2373,3276914.185,1
418,418,10,0.5708279,0.6866525,0.34059,0.1173913,0.3936063,0.248272,0.4454349,-546027.2373,3276914.185,1
419,419,10,0.7149243,0.7335403,0.4860594,0.2347826,0.4578608,0.2044342,0.4461567,-472027.2373,3316914.185,1
420,420,10,0.809553,0.736481,0.3930044,0.2086957,0.3781834,0.2338876,0.358116,-470027.2373,3316914.185,1
421,421,10,0.6910424,0.7243915,0.4281664,0.1391304,0.4972261,0.191372,0.4812559,-466027.2373,3316914.185,1
422,422,20,0.552836,0.4363666,0.2044326,0.2869565,0.6632587,0.1374524,0.6423489,-450027.2373,3316914.185,1
